uid	vopenid	predicted_proba	feature_importances
51000246173	60538217006761256	0.9561525	chat_num:43.90
510004176	67427497280808	0.9794703	reject_invite_team_num:11.08
51000429183	60547511248880936	0.9823766	active_plat_num:6.64
510007830	67680967460136	0.9786839	del_friend_num:4.38
51000875170	60571196517123368	0.13684347	skin_num:3.52
51001139131	60583692388926760	0.99939394	ip_counts:2.60
51001333218	60593335462921512	0.95126796	ip_counts_diff:2.45
51001406939	60596809823028520	0.9657786	friend_num_game:2.25
51001606891	60607746755921192	0.9957261	funny_num:2.01
51001613656	60608119143007528	0.9972818	friend_num_game_diff:1.89
51001667570	60611132532327720	0.93566906	round_squad_num:1.73
51001680972	60611775837898024	0.40137088	bereject_apply_team_num:1.65
51001690068	60612395722474792	0.9991289	reject_apply_team_num:1.50
51001748523	60615728684205352	0.8574203	draw_gold_num:1.06
51001787543	60617904823338280	0.97369426	recruit_num:0.99
51001922900	60624465184556328	0.9969777	funny_num_diff:0.89
51002022378	60628751629026600	0.96299744	del_friend_apply_num:0.64
51002197095	60636968169899304	0.97180825	level:0.57
51002218061	60637982050616616	0.88365763	login_num:0.56
51002330373	60643380824507688	0.29176357	friend_chat_num:0.55
51002560466	60654193069131048	0.9995247	
51002627545	60657624949327144	0.9962896	
51002819923	60668249758893352	0.99870837	
51003424270	60698145818281256	0.9964395	
510035904	69655041803560	0.749674	
51003627246	60707999412782376	0.98993963	
51003894860	60722117372937512	0.8879579	
51004100024	60733491654296872	0.05946413	
5100416731	6017170329175336	0.9797671	
510041793	70065278289192	0.9876841	
51004251140	60740574055367976	0.83256024	
51004734917	60764339048940840	0.98570305	
51004825187	60768804271424808	0.9990927	
51004843746	60769767552058664	0.9360733	
51004895770	60772196892935464	0.6403909	
51004912707	60773403443201320	0.9990895	
51005045983	60780916280526120	0.9998989	
51005470016	60802315283989800	0.993185	
51005546939	60805375582405928	0.98745024	
510055692	71026948310312	0.99677235	
51005620742	60809827383117096	0.99984825	
51005664911	60812002582725928	0.99863064	
51005769649	60817125941839144	0.992393	
51005779042	60817603756950824	0.99947065	
51005857836	60821676124144936	0.99818486	
51005918601	60825009622746408	0.07360682	
5100617227	6021028887528744	0.03222388	
51006320574	60846381715555624	0.10967157	
51006616246	60861207070246184	0.9986975	
5100676819	6022459514291496	0.64411634	
51007102699	60886548786578728	0.0336723	
510072159	72157531342120	0.6034528	
51007242741	60894305765950760	0.95184284	
5100740477	6024272930014504	0.3135912	
51007468521	60905066940728616	0.99853134	
51007647173	60913876119979304	0.99898833	
51007669319	60914988852053288	0.97978425	
510078879	72618166584616	0.38213605	
51007965528	60929796087350568	0.9631534	
51008018671	60932526679917864	0.9999471	
51008108138	60937357041730856	0.99701345	
5100825928	6027397250286888	0.9906452	
5100828424	6027512945968424	0.9978568	
51008356344	60951336354972968	0.9596516	
51008490649	60957748137166120	0.9199867	
5100891222	6030598275990824	0.38903147	
51008962698	60981212013266216	0.5287325	
51009033240	60984669394830632	0.910652	
51009156389	60991024201598248	0.99793744	
51009267716	60997522956879144	0.80290234	
5100928114	6032637177496872	0.9860909	
51009293635	60999008411583784	0.9994784	
5100930330	6032758308996392	0.99952376	
51009796686	61024843982046504	0.98176676	
51010130828	61041982512170280	0.9705549	
5101013125	6036811617273128	0.99222845	
51010160744	61043470651229480	0.9968753	
51010242827	61047875744171304	0.9959919	
51010248101	61048160688407848	0.31091833	
51010339970	61053162580477224	0.987867	
510104659	74402188625192	0.87910086	
51010515848	61063360846103848	0.9228793	
51011103693	61093308377990440	0.9986172	
510111443	74872017782056	0.99677926	
51011246740	61100664583226664	0.99902344	
5101131785	6041184766395688	0.8877315	
51011356824	61106182005589288	0.5759749	
5101139650	6041515210442024	0.7191879	
51011429451	61109883193656616	0.019335717	
5101143106	6041656340383016	0.14011851	
51011435606	61110422950249768	0.99255294	
51011555007	61117119206917416	0.99985504	
51011576734	61118372464952616	0.87423426	
51011661418	61123235307455784	0.33733094	
51011709059	61125536805946664	0.5119525	
51011847896	61132770738832680	0.9987563	
51011938019	61137476211049768	0.9998692	
51011958173	61138489823331624	0.98000985	
51012055894	61143384542545192	0.9937157	
51012091123	61145188764353832	0.9984925	
51012269585	61153791248303400	0.9983535	
51012287136	61155453199320360	0.017232696	
51012288443	61155488699909416	0.35120085	
51012342872	61158212178937128	0.99498993	
51012487104	61165710789182760	0.8728454	
51012517440	61167179265344808	0.97077036	
510125987	75879120504104	0.98709506	
51012700340	61177562684327208	0.9922518	
51012888557	61188100453696808	0.9815052	
51013023081	61194724769662248	0.82565194	
51013138884	61200706518254888	0.9948999	
51013267280	61207004953576744	0.9372738	
51013538256	61220756499334440	0.99721587	
51013614705	61224673710834984	0.99140596	
51013662328	61227307263984936	0.99405295	
51013666558	61227531340481832	0.9995726	
51014308200	61260236778243368	0.969036	
51014486971	61269238492824872	0.31125635	
5101452356	6051419405026600	0.96640813	
51014617398	61275929112347944	0.917902	
510147285	77357260342568	0.8904006	
51014782915	61285011357566248	0.97251046	
51014849246	61288796230386984	0.9796863	
5101516727	6052871171081512	0.7571416	
51015652154	61330231994484008	0.8904309	
51015660219	61330668738970920	0.9999082	
51015674352	61331341572441384	0.8938789	
51015941273	61346419592004904	0.41495252	
51015951521	61346935122298152	0.9361506	
51016148951	61357032321975592	0.92860323	
51016828612	61392668538045736	0.9592461	
51016923085	61398292529284392	0.9202235	
51017067078	61406269088859432	0.9309487	
5101718686	6057289014707496	0.9703268	
51017399696	61423363125806376	0.994344	
51017400682	61423370038019368	0.99916005	
51017781793	61443410086987048	0.9875306	
51017905361	61450327467361576	0.8780372	
51018052740	61458701848282408	0.78861135	
51018540334	61484145838523688	0.9818823	
5101855861	6060350453974312	0.99993265	
51018742195	61494321958225192	0.9944131	
51018775651	61496317775840552	0.30573767	
51018827397	61498879723832616	0.64507943	
51018849588	61500079898756392	0.65122026	
51018882343	61501909219280168	0.9954419	
51019014135	61509037791249704	0.99729365	
51019121933	61515060006487336	0.9894499	
510193250	80588552144168	0.9935882	
51019373405	61528133954045224	0.99998736	
51019471128	61533109807875368	0.9981048	
51019733510	61546616808932648	0.79632425	
51019887990	61554422240904488	0.034441873	
51019961454	61558442263184680	0.9971253	
51019989519	61559936240715048	0.9942468	
51020062656	61563877208753448	0.9995229	
51020073610	61564510984865064	0.99144334	
51020186784	61570845524755752	0.98481953	
51020260546	61574830516208936	0.99788564	
51020262627	61575120762045736	0.99298346	
51020686794	61596452455318824	0.91902333	
51020707783	61597530760545576	0.057475466	
5102077941	6066195568919848	0.8253197	
51020828847	61603661893469480	0.9728872	
51020850882	61604782208845096	0.97620934	
51020890939	61606834733450536	0.98547935	
5102138244	6068235208623400	0.48453498	
5102165007	6069262779548968	0.8266978	
5102320333	6077156929439016	0.96085376	
5102331256	6077802449601832	0.99827886	
510237975	83749849400616	0.8851741	
510238569	83784276247848	0.9872321	
510241749	84013251691816	0.99057263	
510243879	84161763607848	0.9972234	
510244531	84208471377192	0.4235662	
5102513660	6085561576457512	0.9068173	
510272718	86180465345832	0.99891305	
5102791569	6094007562536232	0.11790663	
