col_name,data_type,comment
diamond_reduce_1week,bigint,过去一周减少钻石数
segment,bigint,段位
classical_team_rate,bigint,经典模式开黑率
active_plat_num,bigint,活跃平台好友数
active_game_num,bigint,活跃游戏好友数
avg_collectindex,bigint,场均物资指数
memory,bigint,内存
avg_fps,bigint,场均fps
funny_team_rate,bigint,娱乐模式开黑率
is_register_month,bigint,是否30天内新注册玩家
last_login_date,bigint,7天前最后登录日期
avg_hit_distance,bigint,
device_type,bigint,设备类型
reward_num,bigint,领取奖励次数
share_num,bigint,分享次数
register_time,string,注册时间
is_etc,bigint,是否etc玩家
is_vpn,bigint,是否vpn玩家
daily_buy_num,bigint,1元购次数
game_start_num,bigint,开局数
skin_num,bigint,皮肤数
questionnaire_num,bigint,填写问卷调查次数
view_shop_num,bigint,浏览商店次数
tyf_onlinetime,bigint,体验服在线时长
tyf_login_days,bigint,体验服登录天数
